Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2024,Colorado State,10,17,66.1,114,17.1,54.1535226077813,15.407726975078,24.6498599439776,31.8086225026288,28.6282306163022,75.2066115702479,29.41,97,18.9,19.4191590810576,0
2012,Belmont,14,17,67.2,117.1,16.4,55.5132,17.5713,34.2895,38.7195,32.8962,73.4908,33.63,100.1,18.5,19.4613,0
2025,Texas,11,16.89999999999999,67.6,117.3,17.3,52.636671504596,14.3674611996213,29.7161936560935,36.7682631833575,28.8314524936294,74.8684210526316,31.91,100.4,17.8,21.7938630999213,0
2013,Oregon,12,16.799999999999997,67.9,106.6,17.2,49.2891,21.4335,35.7369,38.3412,21.7358,70.4574,32.42,89.8,17.3,19.5153,0
2011,Florida State,10,16.799999999999997,66.7,104.5,16.2,49.0011,22.9735,36.1702,38.1178,27.11,66.4828,34.8,87.7,18.3,22.9493,0
2002,Michigan State,10,16.799999999999997,63.3,113,NA,51.6324,23.0284,39.1485,34.7038,25.1163,77.0035,NA,96.2,NA,20.4752,0
2021,Syracuse,11,16.799999999999997,68.6,113.7,16.4,51.249256395003,16.3098354224415,29.2089249492901,28.3164782867341,33.9379474940334,78.1512605042017,19.12,96.9,18,15.6822810590631,0
2017,Xavier,11,16.700000000000003,67.2,115.7,17.6,51.8854748603352,18.3809038559522,34.5329249617152,41.0614525139665,28.2440056417489,68.8208616780045,31.65,99,17.6,18.4433788270011,0
2015,BYU,11,16.700000000000003,70.4,119.4,14.6,53.2341,16.43,33.4195,42.4538,30.7863,76.7836,36.16,102.7,19.5,21.6227,0
2022,Michigan,11,16.700000000000003,66.7,113.9,17.6,52.1461420541645,17.2667516923379,30.9742647058824,29.3817066939193,25.8704453441296,74.6086956521739,23.08,97.2,17.9,15.8898305084746,0
2007,Arkansas,12,16.69999999999999,66.1,110.6,NA,51.6754,21.987,34.9081,38.2199,25.573,70.274,26.86,93.9,NA,18.7797,0
2016,Pittsburgh,10,16.60000000000001,65.3,114.9,18.1,51.0546,17.4574,36.91027,36.07355,24.8328,75.5622,35.86,98.3,18.1,17.6849,0
2017,Marquette,10,16.599999999999994,70.1,120.8,16.3,57.5436739015352,17.3429391026343,27.0793036750484,30.9687665431445,38.3124287343215,78.1196581196581,38.01,104.2,17.6,19.2307692307692,0
2010,San Diego State,11,16.5,63.1,111.4,18.4,51.7092,20.9652,39.9523,41.0197,22.807,61.8644,25.19,94.9,19.1,19.0476,0
2010,UTEP,12,16.5,67.9,107.7,16.6,52.7674,18.8234,29.0423,39.5955,24.2754,67.3387,27.78,91.2,17.6,24.4486,0
2006,Bradley,13,16.5,69.3,107.5,NA,48.6549,21.2871,35.4893,34.3507,23.5269,71.988,NA,91,NA,22.4395,0
2003,Arizona State,10,16.5,66.9,113.9,NA,51.2662,19.5408,38.6157,45.3573,15.9966,67.1216,NA,97.4,NA,20.4577,0
2011,Gonzaga,11,16.5,66.1,112.1,16.9,52.5186,19.9431,36.2736,41.7285,22.2007,76.2389,38.53,95.6,18.1,20.7035,0
2022,Loyola Chicago,10,16.5,64.7,108.6,17.7,55.5651672433679,18.4575283115236,25.1256281407035,31.4878892733564,36.6738660907127,71.0622710622711,32.46,92.1,18.6,18.4848484848485,0
2018,Loyola Chicago,11,16.400000000000006,65.5,111.4,18.4,57.6638477801269,19.1051659092196,22.1135029354207,32.2410147991543,30.4,72.6229508196721,32.69,95,18.3,15.7712305025997,0
2024,Nevada,10,16.400000000000006,66.8,115,18.1,53.2069157836029,15.1586925627665,27.3069679849341,45.0083658672616,26.5060240963855,72.1189591078067,25.45,98.6,17.7,19.8917456021651,0
2012,California,12,16.39999999999999,65.7,111.3,17.3,51.6489,18.2569,32.1994,34.0957,19.346800000000002,74.415,21.94,94.9,18.8,16.4449,0
